-9	BadCC	TK_ERROR	0																														
-8	NOCC	TK_ERROR	0																														
-7	NoHex	TK_ERROR	0																														
-6	NoFract	TK_ERROR	0																														
-5	NoExp	TK_ERROR	0																														
-4	BadChar	TK_ERROR	0																														
-3	BadEOF	TK_ERROR	0																														
-2	BadNL	TK_ERROR	0																														
-1	end	TK_EOF	0																														
0	string	TK_STR	0																														
1	keyword	TK_UNKNOWN	1																														
2	integer	TK_INT	1																														
3	hexdigit	TK_HEX	1																														
4	sep	TK_SEP	0																														
5	unop	TK_UNOP	0																														
6	unop	TK_UNOP	1																														
7	binop	TK_BINOP	0																														
8	sep	TK_SEP	1																														
9	coment	TK_COMENT	0																														
10	integer	TK_INT	2																														
11	code	TK_CODE	1																														
12	coment	TK_COMENT	1																														
13	real	TK_REAL	1																														
14	real	TK_EREAL	1																														
asoc		48	49	50	51, 52, 53, 54, 55	56, 57	32	65, 66, 67, 68, 70, 97, 98, 99, 100, 102	69, 101	71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 95	10	35	36	39	40	41	43, 45	42	47	44	61	58	59	60	62	64	91, 93	94	46	123	125	0	
		0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
	описание	0	1	2	3, 4, 5, 6, 7,	8, 9	пробел	a - d, f	e	g-z или _ 	перенос строки	#	$	кавычка	(	)	 +, -	* 	/	,	=	 :	";"	<	>	@	[,]	^	.	{	}	конец файла	другой символ
100	начало	102	102	102	102	102	100	101	101	101	100	103	104	105	4	4	106	106	111	4	5	107	4	120	106	5	4	5	110	108	-4	-1	-4
101	буква	101	101	101	101	101	1	101	101	101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
102	число	102	102	102	102	102	2	2	113	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	109	2	2	2	2
103	код символа	-9	117	118	118	118	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
104	hex	119	119	119	119	119	-7	119	119	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7
105	кавычка	105	105	105	105	105	105	105	105	105	-2	105	105	0	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	-3	105
106	унарная операция	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6
107	Ведено :	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	7	8	8	8	8	8	8	8	8	8	8	8	8
108	начало коментария	108	108	108	108	108	108	108	108	108	-2	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	9	-3	108
109	число с точкой	121	121	121	121	121	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	10	-6	-6	-6	-6
110	Введена .	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	4	8	8	8	8
111	Введен /	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	114	6	7	6	6	6	6	6	6	6	6	6	6	6	6
113	123e…	123	123	123	123	123	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	122	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
114	строчный коментарий	114	114	114	114	114	114	114	114	114	12	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	12	114
117	#1…	124	124	125	126	126	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
118	#2…	126	126	126	126	126	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
119	$1…	119	119	119	119	119	119	119	119	-9	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
120	<	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	7	6	6	6	6	6	6	6	6
121	123.2…	121	121	121	121	121	13	13	113	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
122	123e[+,-]..	123	123	123	123	123	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
123	123e1….	123	123	123	123	123	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
124	#1[0, 1]…	126	126	126	126	126	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
125	#12….	126	126	126	126	-9	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
126	#13…	-9	-9	-9	-9	-9	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
